id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
656413,API,Chat,Yes,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
584531,API,Google,No,No,0,2.0,1647,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
601071,Landing Page Submission,Organic Search,Yes,No,0,7.0,204,3.5,Page Visited on Website,Marketing Management,,No,No,No,No,No,No,,,Yes
644264,Landing Page Submission,Google,No,No,0,5.0,312,2.5,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
638686,Landing Page Submission,Google,No,No,1,3.0,354,3.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,14.0,17.0,No
587486,Landing Page Submission,Direct Traffic,No,No,0,2.0,886,2.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
604618,Landing Page Submission,Organic Search,Yes,No,0,6.0,197,6.0,Email Bounced,Operations Management,,No,No,No,No,No,No,,,No
603979,Landing Page Submission,Direct Traffic,No,No,0,5.0,71,5.0,Email Opened,,,No,No,No,No,No,No,,,No
604214,Landing Page Submission,Direct Traffic,No,No,1,2.0,1302,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
623879,Landing Page Submission,Direct Traffic,No,No,0,2.0,182,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
579930,Landing Page Submission,Direct Traffic,No,No,0,4.0,282,1.33,Page Visited on Website,Business Administration,Unemployed,No,No,No,No,No,No,14.0,20.0,Yes
620522,Landing Page Submission,Direct Traffic,Yes,No,0,3.0,1685,1.5,Page Visited on Website,,Student,No,No,No,No,No,No,,,No
623925,Landing Page Submission,Direct Traffic,Yes,No,1,4.0,1040,4.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,,,Yes
605266,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,No,No,No,No,No,No,,,No
593125,API,Google,No,No,0,6.0,1270,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
594837,Landing Page Submission,Direct Traffic,No,No,0,2.0,219,2.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
641826,Landing Page Submission,Google,No,No,0,2.0,51,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
630623,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
644122,Landing Page Submission,Google,No,No,0,6.0,90,3.0,Chat Conversation,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
587808,API,Direct Traffic,No,No,1,4.0,1761,4.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
646191,Landing Page Submission,Google,No,No,1,2.0,230,2.0,Email Opened,Healthcare Management,Working Professional,No,No,No,No,No,No,14.0,13.0,No
616540,Landing Page Submission,Google,No,No,0,4.0,9,4.0,SMS Sent,Finance Management,,No,No,No,No,No,No,,,No
658430,API,Organic Search,No,No,0,4.0,342,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
647667,API,Referral Sites,No,No,0,2.0,491,2.0,Converted to Lead,,,No,No,No,No,No,No,13.0,13.0,No
633746,Landing Page Submission,Organic Search,No,No,1,3.0,438,3.0,SMS Sent,Supply Chain Management,,No,No,No,No,No,No,,,Yes
609385,Landing Page Submission,Direct Traffic,Yes,No,0,3.0,53,3.0,Email Bounced,E-COMMERCE,Unemployed,No,No,No,No,No,No,,,No
581179,API,Organic Search,No,No,0,6.0,262,6.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,10.0,16.0,No
653610,API,Chat,No,No,0,,463,,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
587702,API,Google,No,No,0,2.0,726,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
587836,Landing Page Submission,Direct Traffic,No,No,0,3.0,15,3.0,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
593789,Landing Page Submission,Direct Traffic,No,No,1,10.0,1360,5.0,Email Opened,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,No
642182,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
634056,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,,,No
592698,API,Organic Search,No,No,1,2.0,1115,2.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
617711,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
581045,Landing Page Submission,Direct Traffic,No,No,1,7.0,1346,7.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
603274,Landing Page Submission,Google,No,No,1,8.0,150,2.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
639343,Landing Page Submission,Organic Search,No,No,0,6.0,1243,6.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
602809,Landing Page Submission,Direct Traffic,No,No,1,2.0,62,2.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
590425,Landing Page Submission,Direct Traffic,Yes,No,0,3.0,296,3.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes
579778,Landing Page Submission,Direct Traffic,No,No,1,6.0,1389,6.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,15.0,18.0,Yes
655025,API,Chat,No,No,1,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
616581,Landing Page Submission,Google,No,No,0,4.0,144,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
587366,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,17.0,15.0,No
602404,API,Google,No,No,1,3.0,1438,1.5,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,No
582675,Landing Page Submission,Direct Traffic,No,No,0,3.0,325,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
621535,Landing Page Submission,Google,No,No,0,3.0,405,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
591340,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,17.0,15.0,No
594569,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
591788,Landing Page Submission,Google,No,No,0,2.0,1410,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No
617235,Landing Page Submission,Direct Traffic,No,No,1,8.0,1499,8.0,SMS Sent,Rural and Agribusiness,Working Professional,No,No,No,No,No,No,,,No
587507,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,15.0,15.0,No
588029,Lead Add Form,Reference,No,No,0,0.0,0,0.0,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,19.0,No
600406,Landing Page Submission,Direct Traffic,No,No,1,2.0,1666,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
604984,Landing Page Submission,Direct Traffic,No,No,1,8.0,411,2.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
622584,Landing Page Submission,Direct Traffic,No,No,0,1.0,36,1.0,Converted to Lead,International Business,Unemployed,No,No,No,No,No,No,,,Yes
594630,Landing Page Submission,Organic Search,No,No,0,28.0,340,4.0,Email Link Clicked,International Business,Unemployed,No,No,No,No,No,No,,,Yes
623297,API,Google,No,No,1,2.0,1277,2.0,Email Opened,,,No,No,No,No,No,No,,,No
629371,Landing Page Submission,Direct Traffic,No,No,0,2.0,109,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
585325,API,Google,No,No,1,2.0,189,2.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No
597323,Landing Page Submission,Google,No,No,1,8.0,1061,2.67,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
597250,Landing Page Submission,Direct Traffic,No,No,0,2.0,412,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
620274,API,Google,No,No,1,3.0,1177,3.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,No
613750,Landing Page Submission,Direct Traffic,No,No,0,3.0,5,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
611064,Landing Page Submission,Organic Search,No,No,1,14.0,1200,2.8,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
653246,Landing Page Submission,Organic Search,Yes,No,0,5.0,115,5.0,SMS Sent,Healthcare Management,,No,No,No,No,No,No,14.0,13.0,Yes
659281,Landing Page Submission,Google,No,No,0,8.0,277,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
653261,Landing Page Submission,Direct Traffic,No,No,1,2.0,813,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
660087,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
644642,API,Chat,No,No,1,1.0,832,1.0,Email Opened,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,14.0,17.0,Yes
641976,Landing Page Submission,Google,No,No,0,5.0,271,1.67,SMS Sent,Human Resource Management,,No,No,No,No,No,No,14.0,18.0,No
650088,API,Google,No,No,0,3.0,1293,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
642466,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
626895,Landing Page Submission,Google,No,No,0,7.0,383,2.33,Page Visited on Website,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
627571,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
582334,API,Google,No,No,0,2.0,121,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
624544,API,Organic Search,No,No,1,6.0,1401,2.0,Email Opened,Media and Advertising,Housewife,No,No,No,No,No,No,,,No
604437,Landing Page Submission,Direct Traffic,Yes,No,0,5.0,32,5.0,Page Visited on Website,Finance Management,,No,No,No,No,No,No,,,Yes
586106,API,Organic Search,No,No,0,7.0,1531,1.75,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
630648,Landing Page Submission,Google,No,No,0,6.0,763,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
641196,API,Chat,No,No,1,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,16.0,15.0,No
658278,API,Direct Traffic,No,No,0,2.0,205,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
649947,Landing Page Submission,Organic Search,No,No,0,6.0,543,6.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,13.0,13.0,Yes
648481,Landing Page Submission,Direct Traffic,No,No,0,2.0,1502,2.0,Email Opened,Retail Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
633140,API,Google,No,No,1,2.0,1241,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
600817,Landing Page Submission,Organic Search,No,No,0,8.0,1241,1.6,Email Opened,Travel and Tourism,,No,No,No,No,No,No,,,Yes
634237,Lead Add Form,Reference,Yes,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
654224,API,Google,No,No,0,2.0,156,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
609072,Landing Page Submission,Google,No,No,1,3.0,380,3.0,SMS Sent,Marketing Management,,No,No,No,No,No,No,,,No
587365,Lead Add Form,Reference,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
629884,Landing Page Submission,Google,No,No,1,4.0,1237,4.0,SMS Sent,Finance Management,Student,No,No,No,No,No,No,,,No
594718,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
582833,Landing Page Submission,Direct Traffic,No,No,0,5.0,869,5.0,SMS Sent,Supply Chain Management,,No,No,No,No,No,No,14.0,18.0,No
588619,API,Google,Yes,No,0,2.0,1497,2.0,Email Bounced,,,No,No,No,No,No,No,16.0,15.0,No
649320,Landing Page Submission,Direct Traffic,No,No,0,8.0,220,4.0,Email Opened,Select,Working Professional,No,No,No,No,No,No,12.0,18.0,No
582589,Landing Page Submission,Google,No,No,0,6.0,168,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
582963,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
620223,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
641008,API,Google,No,No,1,3.0,1231,1.5,SMS Sent,Media and Advertising,Other,No,No,No,No,No,No,14.0,15.0,No
592749,Landing Page Submission,Direct Traffic,No,No,0,5.0,3,5.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
608470,API,Chat,No,No,0,4.0,164,1.33,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,No
617119,Landing Page Submission,Direct Traffic,No,No,0,5.0,194,5.0,Email Opened,Retail Management,,No,No,No,No,No,No,,,Yes
600661,Landing Page Submission,Direct Traffic,No,No,1,4.0,295,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
657676,API,Organic Search,No,No,0,9.0,96,4.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
584366,API,Organic Search,No,No,1,6.0,592,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
649980,Landing Page Submission,Direct Traffic,No,No,1,4.0,1541,4.0,Email Opened,Hospitality Management,Working Professional,No,No,No,No,No,No,15.0,17.0,Yes
641118,Landing Page Submission,Google,No,No,0,5.0,431,2.5,Email Opened,Marketing Management,,No,No,No,No,No,No,16.0,17.0,Yes
596580,API,Google,No,No,1,2.0,406,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
631781,Landing Page Submission,Direct Traffic,No,No,1,6.0,1295,2.0,Email Opened,Marketing Management,,No,No,No,No,No,No,,,Yes
622488,API,Google,Yes,No,0,4.0,420,1.0,Email Bounced,,,No,No,No,No,No,No,,,No
646755,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
608540,API,Organic Search,No,No,0,2.0,80,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
619044,Landing Page Submission,Direct Traffic,No,No,1,6.0,1207,6.0,SMS Sent,Finance Management,,No,No,No,No,No,No,,,Yes
619066,Landing Page Submission,Direct Traffic,No,No,0,1.0,2,1.0,Converted to Lead,Hospitality Management,Unemployed,No,No,No,No,No,No,,,Yes
627490,Landing Page Submission,Organic Search,No,No,0,4.0,181,4.0,SMS Sent,Media and Advertising,,No,No,No,No,No,No,,,Yes
603831,Landing Page Submission,Direct Traffic,No,No,1,2.0,1106,2.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,Yes
580775,Landing Page Submission,Google,No,No,1,4.0,1602,4.0,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,15.0,18.0,No
645315,Landing Page Submission,Direct Traffic,No,No,1,5.0,100,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
610976,API,Google,No,No,1,3.0,899,3.0,SMS Sent,Select,Student,No,No,No,No,No,No,,,No
598461,Landing Page Submission,Organic Search,No,No,0,13.0,181,13.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
603592,Landing Page Submission,Google,No,No,0,4.0,191,4.0,Email Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,,,No
631400,API,Direct Traffic,No,No,1,7.0,114,7.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
596501,Landing Page Submission,Direct Traffic,No,No,0,3.0,146,3.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
605006,Lead Add Form,Reference,No,No,1,,304,,,Human Resource Management,Working Professional,No,No,No,No,No,No,,,No
587314,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
637184,Landing Page Submission,Google,No,No,1,6.0,945,6.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
583169,Landing Page Submission,Google,No,No,1,2.0,100,2.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,19.0,No
600088,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
615216,Landing Page Submission,Organic Search,No,No,1,6.0,1183,3.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
